Date,Status,Inferred,Total,Adult,College,AdultPlusCollege,Youth,Kids,Online,Zoom,SourceTime,Sender
2023-01-01,OK,Yes,77,,,,,,,,09:13PM,elya，8號11班建榮＆3年6班建信
2023-01-08,OK,Yes,,13,9,,3,1,,,12:12PM,Ps. Corwin Yehuda L
2023-01-15,OK,,,10,12,,1,1,,,10:44AM,Michelle
2023-01-22,Missing,,,,,,,,,,,
2023-01-29,OK,,,11,7,,1,,,,10:53AM,Michelle
2023-02-05,OK,,,13,10,,1,,,,10:51AM,Michelle
2023-02-12,Missing,,,,,,,,,,,
2023-02-19,OK,,,12,14,,2,1,,,10:52AM,Michelle
2023-02-26,OK,,,12,15,,2,1,,,10:45AM,Michelle
2023-03-05,OK,,,14,11,,2,3,,,10:51AM,Michelle
2023-03-12,OK,,,11,12,,2,1,,,10:50AM,Michelle
2023-03-19,OK,,,13,14,,3,1,,,10:51AM,Michelle
2023-03-26,OK,,,16,10,,2,1,,,11:01AM,Ps. Corwin Yehuda L
2023-04-02,OK,,,13,12,,3,1,,,10:49AM,Michelle
2023-04-09,Missing,,,,,,,,,,,
2023-04-16,OK,,,12,17,,2,1,,,10:56AM,Michelle
2023-04-23,OK,,,12,12,,2,1,,,10:55AM,Ps. Corwin Yehuda L
2023-04-30,OK,,,13,14,,1,1,,,10:52AM,Michelle
2023-05-07,OK,,,17,19,,1,3,,,10:48AM,Michelle
2023-05-14,OK,,,13,19,,1,1,,,10:53AM,Michelle
2023-05-21,Missing,,,,,,,,,,,
2023-05-28,OK,,,15,24,,2,1,,,10:50AM,Ps. Corwin Yehuda L
2023-06-04,OK,,,17,15,,2,1,,,10:47AM,Michelle
2023-06-11,OK,,,17,14,,2,1,,,10:49AM,Michelle
2023-06-18,OK,,,13,16,,2,1,,,10:51AM,Michelle
2023-06-25,OK,,,17,6,,4,1,,,10:50AM,Michelle
2023-07-02,OK,,,21,14,,1,1,,,10:48AM,Michelle
2023-07-09,OK,,,38,,,2,5,,,11:46PM,elya，8號11班建榮＆3年6班建信
2023-07-16,OK,,,17,8,,2,1,,,12:14PM,Ps. Corwin Yehuda L
2023-07-23,OK,,,20,5,,1,1,,,10:45AM,Michelle
2023-07-30,OK,,,17,11,,1,2,,,10:52AM,Michelle
2023-08-06,Missing,,,,,,,,,,,
2023-08-13,OK,,,15,10,,2,1,,,10:56AM,Michelle
2023-08-20,Missing,,,,,,,,,,,
2023-08-27,OK,,,20,7,,2,3,,,10:59AM,Michelle
2023-09-03,OK,,,22,25,,2,1,,,10:47AM,Michelle
2023-09-10,OK,,,18,26,,2,1,,,10:54AM,Elviz 又飛
2023-09-17,OK,,,21,23,,2,1,,,11:04AM,Ps. Corwin Yehuda L
2023-09-24,OK,,,18,14,,15,1,,,11:05AM,Michelle
2023-10-01,OK,,,20,18,,9,1,,,10:59AM,Michelle
2023-10-08,OK,,,15,13,,7,1,,,04:27PM,Michelle
2023-10-15,OK,,,15,16,,9,1,,,11:07AM,Michelle
2023-10-22,OK,,,16,,,,1,,,11:05AM,Michelle
2023-10-29,OK,,,16,,,,2,,,10:54AM,Michelle
2023-11-05,OK,,,17,,,,1,,,10:51AM,Michelle
2023-11-12,OK,,,13,,,,1,,,11:00AM,Michelle
2023-11-19,OK,,,15,,,,1,,,10:58AM,Michelle
2023-11-26,OK,,,12,,,,1,,,10:46AM,Michelle
2023-12-03,OK,,,38,,,,1,,,11:23AM,elya，8號11班建榮＆3年6班建信
2023-12-10,Missing,,,,,,,,,,,
2023-12-17,OK,,,15,,,,1,,,04:08PM,Michelle
2023-12-24,Missing,,,,,,,,,,,
2023-12-31,Missing,,,,,,,,,,,
